Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Telopea,0.163,Q4,15,5,30,https://www.scimagojr.com/journalsearch.php?q=17308&tip=sid&clean=0,0312-9764/2200-4025,C
Asian Journal of Poultry Science (discontinued),0.162,Q4,10,0,20,http://scialert.net/jindex.php?issn=1819-3609,Sin informacion,No
International Journal of Botany (discontinued),0.162,Q4,20,0,22,https://www.scimagojr.com/journalsearch.php?q=4700152857&tip=sid&clean=0,Sin informacion,No
Chinese Journal of Ecology,0.161,Q4,21,288,1350,http://ores.su/en/journals/chinese-journal-of-ecology/,1000-4890,C
Ecological Questions,0.161,Q4,8,12,93,https://apcz.umk.pl/czasopisma/index.php/EQ,1644-7298/2083-5469,C
Journal of Food Quality and Hazards Control,0.161,Q4,9,28,92,http://jfqhc.ssu.ac.ir/,2345-6825/2345-685X,C
Membrane Technology,0.161,Q4,21,9,38,http://www.elsevier.com/wps/find/journaldescription.cws_home/422864/description#description,0958-2118,B
Phyton,0.161,Q4,15,36,118,https://www.scimagojr.com/journalsearch.php?q=16555&tip=sid&clean=0,0031-9457/1851-5657,C
Egyptian Journal of Aquatic Biology and Fisheries,0.16,Q4,4,176,122,https://ejabf.journals.ekb.eg/,1110-6131/2536-9814,C
Pestology,0.16,Q4,12,28,217,https://www.scimagojr.com/journalsearch.php?q=88997&tip=sid&clean=0,0970-3012,C
"Revista Chapingo, Serie Horticultura",0.16,Q4,8,10,50,https://www.scimagojr.com/journalsearch.php?q=21100258755&tip=sid&clean=0,Sin informacion,No
"South-Western Journal of Horticulture, Biology and Environment",0.16,Q4,2,9,29,http://biozoojournals.ro/swjhbe/,Sin informacion,No
American Journal of Food Technology (discontinued),0.159,Q4,26,0,39,https://scialert.net/current.php?issn=1557-4571,Sin informacion,No
Mathematical and Computational Forestry and Natural-Resource Sciences,0.159,Q4,11,3,32,https://www.scimagojr.com/journalsearch.php?q=21100201313&tip=sid&clean=0,Sin informacion,No
Bulletin of the Iraq Natural History Museum,0.158,Q4,2,19,34,http://jnhm.uobaghdad.edu.iq/index.php/BINHM,1017-8678/2311-9799,C
Pachyderm,0.158,Q4,12,19,39,https://www.scimagojr.com/journalsearch.php?q=19700180845&tip=sid&clean=0,1026-2881/1683-5018,C
Great Plains Research,0.157,Q4,18,12,30,http://www.unl.edu/plains/publications/GPR/gpr.shtml,1052-5165,C
"Journal for the Study of Religion, Nature and Culture",0.157,Q4,7,11,72,https://www.scimagojr.com/journalsearch.php?q=21100239824&tip=sid&clean=0,Sin informacion,No
Mediterranean Journal of Nutrition and Metabolism,0.157,Q4,17,36,65,https://www.iospress.nl/journal/mediterranean-journal-of-nutrition-and-metabolism/,1973-798X/1973-7998,C
Revue d'Ecologie (La Terre et la Vie),0.157,Q4,24,0,86,https://www.scimagojr.com/journalsearch.php?q=25281&tip=sid&clean=0,Sin informacion,No
Yerbilimleri/ Earth Sciences,0.157,Q4,13,9,52,http://www.yerbilimleri.hacettepe.edu.tr/english.shtml,Sin informacion,No
"Atti della Societa Toscana di Scienze Naturali, Memorie Serie A (discontinued)",0.156,Q4,9,0,22,https://www.scimagojr.com/journalsearch.php?q=21100367736&tip=sid&clean=0,Sin informacion,No
Indian Journal of Horticulture,0.156,Q4,11,119,360,https://www.scimagojr.com/journalsearch.php?q=19700183035&tip=sid&clean=0,0972-8538/1875-8711,C
Journal of the International Society for Southeast Asian Agricultural Sciences,0.156,Q4,7,30,85,http://issaasphil.org/about-the-journal/,0859-3132,C
Pertanika Journal of Science and Technology,0.156,Q4,12,166,558,http://www.pertanika.upm.edu.my/JST.php,0128-7680,B
